
Strategy Name,Parent Family,Type,Core / Subtype / Variation,Core Logic,How it Works,Typical Use Case,Known Users / Origin,Evidence Type,Confidence Level
Trendline Break and Retest (Swing),Price Action Trading,Technical,Variation,"When price breaks a well‑defined trendline and then retests from the other side, traders enter in the direction of the break.",Draw trendlines; trade the break and subsequent retest Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,High
Support/Resistance Bounce,Price Action Trading,Technical,Core,Price tends to react at historical levels; traders watch for rejection or breakout signals at these areas to enter.,Identify horizontal support/resistance and trade bounces or breaks,General use across trading horizons.,Not clearly attributable,Common practice,High
Support/Resistance Bounce (Intraday),Price Action Trading,Technical,Variation,Price tends to react at historical levels; traders watch for rejection or breakout signals at these areas to enter.,Identify horizontal support/resistance and trade bounces or breaks Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,High
Support/Resistance Bounce (Swing),Price Action Trading,Technical,Variation,Price tends to react at historical levels; traders watch for rejection or breakout signals at these areas to enter.,Identify horizontal support/resistance and trade bounces or breaks Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,High
Engulfing Pattern,Pattern‑Based Systems,Technical,Core,"An engulfing candle indicates strong reversal momentum; at support/resistance, it can signal trend reversal.",Look for bullish or bearish engulfing candle at key levels,General use across trading horizons.,Not clearly attributable,Common practice,Medium
Engulfing Pattern (Intraday),Pattern‑Based Systems,Technical,Variation,"An engulfing candle indicates strong reversal momentum; at support/resistance, it can signal trend reversal.",Look for bullish or bearish engulfing candle at key levels Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,Medium
Engulfing Pattern (Swing),Pattern‑Based Systems,Technical,Variation,"An engulfing candle indicates strong reversal momentum; at support/resistance, it can signal trend reversal.",Look for bullish or bearish engulfing candle at key levels Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,Medium
Pin Bar Reversal,Pattern‑Based Systems,Technical,Core,Pin bars show rejection of a price level; traders take contrarian positions if the wick rejects support/resistance.,Identify long‑wick candles (pin bars) indicating rejection,General use across trading horizons.,Not clearly attributable,Common practice,Medium
Pin Bar Reversal (Intraday),Pattern‑Based Systems,Technical,Variation,Pin bars show rejection of a price level; traders take contrarian positions if the wick rejects support/resistance.,Identify long‑wick candles (pin bars) indicating rejection Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,Medium
Pin Bar Reversal (Swing),Pattern‑Based Systems,Technical,Variation,Pin bars show rejection of a price level; traders take contrarian positions if the wick rejects support/resistance.,Identify long‑wick candles (pin bars) indicating rejection Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,Medium
Inside Bar Breakout,Pattern‑Based Systems,Technical,Core,An inside bar indicates consolidation; breakout above or below the mother bar sets up trend continuation.,Trade the breakout of a mother candle’s high/low after an inside bar,General use across trading horizons.,Not clearly attributable,Common practice,Medium
Inside Bar Breakout (Intraday),Pattern‑Based Systems,Technical,Variation,An inside bar indicates consolidation; breakout above or below the mother bar sets up trend continuation.,Trade the breakout of a mother candle’s high/low after an inside bar Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,Medium
Inside Bar Breakout (Swing),Pattern‑Based Systems,Technical,Variation,An inside bar indicates consolidation; breakout above or below the mother bar sets up trend continuation.,Trade the breakout of a mother candle’s high/low after an inside bar Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,Medium
Head and Shoulders,Pattern‑Based Systems,Technical,Core,A head and shoulders pattern signals exhaustion of trend and potential reversal; break of neckline triggers entry.,Identify head‑and‑shoulders top or inverse bottom to trade reversals,General use across trading horizons.,Not clearly attributable,Academic,High
Head and Shoulders (Intraday),Pattern‑Based Systems,Technical,Variation,A head and shoulders pattern signals exhaustion of trend and potential reversal; break of neckline triggers entry.,Identify head‑and‑shoulders top or inverse bottom to trade reversals Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Academic,High
Head and Shoulders (Swing),Pattern‑Based Systems,Technical,Variation,A head and shoulders pattern signals exhaustion of trend and potential reversal; break of neckline triggers entry.,Identify head‑and‑shoulders top or inverse bottom to trade reversals Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Academic,High
Double Top/Bottom,Pattern‑Based Systems,Technical,Core,Two consecutive peaks or troughs at similar price levels indicate strong resistance/support; break of the intervening low/high triggers entry.,Trade reversals at double peaks or troughs,General use across trading horizons.,Not clearly attributable,Common practice,High
Double Top/Bottom (Intraday),Pattern‑Based Systems,Technical,Variation,Two consecutive peaks or troughs at similar price levels indicate strong resistance/support; break of the intervening low/high triggers entry.,Trade reversals at double peaks or troughs Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,High
Double Top/Bottom (Swing),Pattern‑Based Systems,Technical,Variation,Two consecutive peaks or troughs at similar price levels indicate strong resistance/support; break of the intervening low/high triggers entry.,Trade reversals at double peaks or troughs Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,High
Cup and Handle,Pattern‑Based Systems,Technical,Core,This bullish continuation pattern forms a U‑shaped cup and smaller handle; breakout above handle signals momentum continuation.,Identify rounded base followed by consolidation and breakout,General use across trading horizons.,Not clearly attributable,Academic,Medium
Cup and Handle (Intraday),Pattern‑Based Systems,Technical,Variation,This bullish continuation pattern forms a U‑shaped cup and smaller handle; breakout above handle signals momentum continuation.,Identify rounded base followed by consolidation and breakout Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Academic,Medium
Cup and Handle (Swing),Pattern‑Based Systems,Technical,Variation,This bullish continuation pattern forms a U‑shaped cup and smaller handle; breakout above handle signals momentum continuation.,Identify rounded base followed by consolidation and breakout Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Academic,Medium
Flag and Pennant,Pattern‑Based Systems,Technical,Core,A strong impulse move (flagpole) followed by consolidation creates a flag or pennant; breakout in impulse direction indicates continuation.,Look for sharp move followed by small consolidation channel or triangle,General use across trading horizons.,Not clearly attributable,Common practice,High
Flag and Pennant (Intraday),Pattern‑Based Systems,Technical,Variation,A strong impulse move (flagpole) followed by consolidation creates a flag or pennant; breakout in impulse direction indicates continuation.,Look for sharp move followed by small consolidation channel or triangle Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,High
Flag and Pennant (Swing),Pattern‑Based Systems,Technical,Variation,A strong impulse move (flagpole) followed by consolidation creates a flag or pennant; breakout in impulse direction indicates continuation.,Look for sharp move followed by small consolidation channel or triangle Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,High
Triangle Breakout,Pattern‑Based Systems,Technical,Core,Triangles represent converging ranges; breakout from the triangle indicates directional expansion.,"Trade breakouts of ascending, descending, or symmetrical triangles",General use across trading horizons.,Not clearly attributable,Common practice,Medium
Triangle Breakout (Intraday),Pattern‑Based Systems,Technical,Variation,Triangles represent converging ranges; breakout from the triangle indicates directional expansion.,"Trade breakouts of ascending, descending, or symmetrical triangles Applied on a intraday basis with time-specific entry and exit rules.",Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,Medium
Triangle Breakout (Swing),Pattern‑Based Systems,Technical,Variation,Triangles represent converging ranges; breakout from the triangle indicates directional expansion.,"Trade breakouts of ascending, descending, or symmetrical triangles Applied on a swing basis with time-specific entry and exit rules.",Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,Medium
Ichimoku Cloud Breakout,Indicator‑Based Systems,Technical,Core,"When price is above the Kumo (cloud) and Tenkan crosses above Kijun, the trend is bullish; opposite conditions signal short.",Use Ichimoku Kinko Hyo; price above cloud and bullish cross signals long,General use across trading horizons.,Not clearly attributable,Common practice,High
Ichimoku Cloud Breakout (Intraday),Indicator‑Based Systems,Technical,Variation,"When price is above the Kumo (cloud) and Tenkan crosses above Kijun, the trend is bullish; opposite conditions signal short.",Use Ichimoku Kinko Hyo; price above cloud and bullish cross signals long Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,High
Ichimoku Cloud Breakout (Swing),Indicator‑Based Systems,Technical,Variation,"When price is above the Kumo (cloud) and Tenkan crosses above Kijun, the trend is bullish; opposite conditions signal short.",Use Ichimoku Kinko Hyo; price above cloud and bullish cross signals long Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,High
Alligator and Fractals,Indicator‑Based Systems,Technical,Core,The Alligator’s moving averages indicate trend phases; fractals mark potential entry points when price breaks fractal in direction of the Alligator’s open mouth.,Use Bill Williams’ Alligator indicator and fractal setups,General use across trading horizons.,Not clearly attributable,Common practice,Medium
Alligator and Fractals (Intraday),Indicator‑Based Systems,Technical,Variation,The Alligator’s moving averages indicate trend phases; fractals mark potential entry points when price breaks fractal in direction of the Alligator’s open mouth.,Use Bill Williams’ Alligator indicator and fractal setups Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,Medium
Alligator and Fractals (Swing),Indicator‑Based Systems,Technical,Variation,The Alligator’s moving averages indicate trend phases; fractals mark potential entry points when price breaks fractal in direction of the Alligator’s open mouth.,Use Bill Williams’ Alligator indicator and fractal setups Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,Medium
ADX + DMI Filter,Indicator‑Based Systems,Technical,Core,"Enter long when +DI crosses above –DI and ADX > threshold, signifying strong uptrend; opposite for shorts.",Combine ADX threshold with DI lines crossing,General use across trading horizons.,Not clearly attributable,Common practice,Medium
ADX + DMI Filter (Intraday),Indicator‑Based Systems,Technical,Variation,"Enter long when +DI crosses above –DI and ADX > threshold, signifying strong uptrend; opposite for shorts.",Combine ADX threshold with DI lines crossing Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,Medium
ADX + DMI Filter (Swing),Indicator‑Based Systems,Technical,Variation,"Enter long when +DI crosses above –DI and ADX > threshold, signifying strong uptrend; opposite for shorts.",Combine ADX threshold with DI lines crossing Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,Medium
Parabolic SAR Reversal,Indicator‑Based Systems,Technical,Core,"The SAR dots track price; when price crosses the dots, the trend reverses and traders switch positions.",Use parabolic stop‑and‑reverse to trail price and signal reversals,General use across trading horizons.,Not clearly attributable,Common practice,Medium
Parabolic SAR Reversal (Intraday),Indicator‑Based Systems,Technical,Variation,"The SAR dots track price; when price crosses the dots, the trend reverses and traders switch positions.",Use parabolic stop‑and‑reverse to trail price and signal reversals Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,Medium
Parabolic SAR Reversal (Swing),Indicator‑Based Systems,Technical,Variation,"The SAR dots track price; when price crosses the dots, the trend reverses and traders switch positions.",Use parabolic stop‑and‑reverse to trail price and signal reversals Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,Medium
Bollinger Squeeze Breakout,Volatility Expansion/Contraction,Technical,Core,A squeeze signals compression; price breaking above or below the band suggests a volatility expansion and trade entry.,Identify periods of low volatility when Bollinger Bands narrow and trade the breakout,General use across trading horizons.,Not clearly attributable,Common practice,High
Bollinger Squeeze Breakout (Intraday),Volatility Expansion/Contraction,Technical,Variation,A squeeze signals compression; price breaking above or below the band suggests a volatility expansion and trade entry.,Identify periods of low volatility when Bollinger Bands narrow and trade the breakout Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,High
Bollinger Squeeze Breakout (Swing),Volatility Expansion/Contraction,Technical,Variation,A squeeze signals compression; price breaking above or below the band suggests a volatility expansion and trade entry.,Identify periods of low volatility when Bollinger Bands narrow and trade the breakout Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,High
ATR Expansion Breakout,Volatility Expansion/Contraction,Technical,Core,"A surge in ATR indicates increasing volatility; combined with directional bias, traders enter trending moves.",Monitor ATR; enter when ATR rises above a moving average of ATR,General use across trading horizons.,Not clearly attributable,Common practice,Medium
ATR Expansion Breakout (Intraday),Volatility Expansion/Contraction,Technical,Variation,"A surge in ATR indicates increasing volatility; combined with directional bias, traders enter trending moves.",Monitor ATR; enter when ATR rises above a moving average of ATR Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,Medium
ATR Expansion Breakout (Swing),Volatility Expansion/Contraction,Technical,Variation,"A surge in ATR indicates increasing volatility; combined with directional bias, traders enter trending moves.",Monitor ATR; enter when ATR rises above a moving average of ATR Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,Medium
NR7/NR4 Range Breakout,Volatility Expansion/Contraction,Technical,Core,A very narrow range often precedes a strong move; break above or below narrow bar’s range provides entry.,Identify narrowest range bar in last N bars and trade breakout,General use across trading horizons.,Not clearly attributable,Common practice,Medium
NR7/NR4 Range Breakout (Intraday),Volatility Expansion/Contraction,Technical,Variation,A very narrow range often precedes a strong move; break above or below narrow bar’s range provides entry.,Identify narrowest range bar in last N bars and trade breakout Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,Medium
